,Symbol - Security Name,Previous Close,Average Price,Open,High,Low,Current Close,Change (AED),Change %,No of Trading Days,No. of Trades,Trade Volume,Trade Value,High 52,Low 52,Market Capitalization,Market Capital %,Open Interest,Date
103,DIBG22-  DIB FUT - February 2022,5.501,0.0,,0.0,,5.5,,,0.0,0.0,0.0,0.0,5.5,5.42,0.0,0.0,,01/02/2022
104,DIBH22-  DIB FUT - March 2022,5.502,0.0,,0.0,,5.502,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01/02/2022
105,DIBJ22-  DIB FUT - April 2022,5.255,0.0,,0.0,,5.255,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01/02/2022
106,DICG22-  DIC FUT - February 2022,2.28,0.0,,0.0,,2.22,,,0.0,0.0,0.0,0.0,2.185,1.94,0.0,0.0,,01/02/2022
107,DICH22-  DIC FUT - March 2022,2.281,225.0,2.25,2.25,2.25,2.221,-0.06,-2.63,1.0,1.0,500.0,112500.0,2.3,2.181,0.0,0.0,700.0,01/02/2022
108,DICJ22-  DIC FUT - April 2022,2.182,0.0,,0.0,,2.122,,,0.0,0.0,0.0,0.0,2.102,2.069,0.0,0.0,,01/02/2022
109,DUG22-  DU FUT - February 2022,6.501,0.0,,0.0,,6.551,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01/02/2022
110,DUH22-  DU FUT - March 2022,6.502,0.0,,0.0,,6.552,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01/02/2022
111,DUJ22-  DU FUT - April 2022,6.393,0.0,,0.0,,6.443,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01/02/2022
112,EMAARG22-  EMAAR FUT - February 2022,4.86,0.0,,0.0,,4.78,,,0.0,0.0,0.0,0.0,5.2,4.795,0.0,0.0,,01/02/2022
113,EMAARH22-  EMAAR FUT - March 2022,4.862,0.0,,0.0,,4.782,,,0.0,0.0,0.0,0.0,5.05,4.778,0.0,0.0,,01/02/2022
114,EMAARJ22-  EMAAR FUT - April 2022,4.864,0.0,,0.0,,4.784,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01/02/2022
115,EMRDEVG22-  EMRDEV FUT - February 2022,4.3,425.9,4.259,4.259,4.259,4.22,-0.08,-1.86,1.0,1.0,94.0,40034.6,4.475,4.15,0.0,0.0,1100.0,01/02/2022
116,EMRDEVH22-  EMRDEV FUT - March 2022,4.302,0.0,,0.0,,4.221,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01/02/2022
117,EMRDEVJ22-  EMRDEV FUT - April 2022,4.304,0.0,,0.0,,4.224,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01/02/2022
118,ENBDG22-  ENBD FUT - February 2022,13.351,0.0,,0.0,,13.151,,,0.0,0.0,0.0,0.0,13.35,12.9,0.0,0.0,,01/02/2022
119,ENBDH22-  ENBD FUT - March 2022,12.855,0.0,,0.0,,12.654,,,0.0,0.0,0.0,0.0,13.86,13.142,0.0,0.0,,01/02/2022
120,ENBDJ22-  ENBD FUT - April 2022,12.862,0.0,,0.0,,12.662,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01/02/2022
121,SHUAAG22-  SHUAA FUT - February 2022,0.652,0.0,,0.0,,0.636,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01/02/2022
122,SHUAAH22-  SHUAA FUT - March 2022,0.652,0.0,,0.0,,0.636,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01/02/2022
123,SHUAAJ22-  SHUAA FUT - April 2022,0.653,0.0,,0.0,,0.637,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,01/02/2022
124,Total of Equities Futures,,,,,,,,,,2.0,594.0,152534.6,,,0.0,,1100.0,01/02/2022
125,Total of Futures,,,,,,,,,,2.0,594.0,152534.6,,,0.0,,,01/02/2022
